新疆	200610	726353.46	217372.38	416564.73	26632.93	65783.41
内 蒙 古	200610	597271.39	187759.31	360172.69	24963.80	24375.59
广西	200610	673824.76	217555.80	383047.44	37907.40	35314.11
集团、总公司本级	200610	116186.74	114442.80	398.52	330.82	1014.61
北京	200611	3697559.64	755664.72	2488772.85	72275.64	380846.44
天津	200611	944105.91	241516.90	605449.36	18835.06	78304.59
河北	200611	2351334.96	589823.74	1586802.89	51156.47	123551.84
辽宁	200611	1766540.04	443999.93	1185797.99	34675.49	102066.63
大连	200611	598488.60	181915.30	353036.57	16586.49	46950.25
上海	200611	3676928.26	913646.91	2407037.31	89170.34	267073.70
江苏	200611	4569727.54	1089109.23	3088065.03	117297.63	275255.65
浙江	200611	2770936.77	979701.42	1542934.05	100281.97	148019.33
宁波	200611	533006.42	247249.22	237117.17	19138.76	29501.28
福建	200611	1365626.35	373242.23	847549.23	40477.80	104357.10
厦门	200611	252679.92	90263.64	124507.63	9962.45	27946.20
山东	200611	3097076.58	809386.57	2022744.02	74692.87	190253.12
青岛	200611	559179.00	187227.96	302168.81	13593.76	56188.47
广东	200611	4303799.16	1251387.42	2605030.24	155058.31	292323.18
深圳	200611	1214922.56	509486.80	573744.13	52557.89	79133.73
海南	200611	162723.28	61638.42	85993.63	6579.90	8511.34
山西	200611	1322747.11	349894.90	894744.22	27430.82	50677.17
吉林	200611	840652.60	184006.17	599873.46	18586.57	38186.40
黑 龙 江	200611	1487666.27	268992.18	1124924.00	30662.88	63087.20
安徽	200611	1550420.18	364504.80	1073408.74	30886.77	81619.88
江西	200611	907673.80	199795.80	628546.52	33292.20	46039.28
河南	200611	2375238.59	448563.91	1745449.32	56673.26	124552.10
湖北	200611	1480779.07	358905.53	974052.48	46136.08	101684.97
湖南	200611	1356106.77	302973.30	908225.66	58473.21	86434.60
重庆	200611	849951.04	214783.85	543981.33	36069.02	55116.85
四川	200611	2202634.82	566049.13	1389846.88	88010.35	158728.46
贵州	200611	455443.66	158236.85	247258.99	27240.05	22707.78
云南	200611	879373.18	324367.47	446475.23	48542.05	59988.42
西藏	200611	18366.88	17440.28	0.00	926.60	0.00
陕西	200611	1073885.09	272801.95	724813.13	27941.55	48328.46
甘肃	200611	523647.54	139570.71	341756.49	14062.51	28257.81
青海	200611	78394.05	37068.63	33914.75	2845.08	4565.59
宁夏	200611	174812.67	53175.26	91043.42	6422.70	24171.28
新疆	200611	800902.21	232924.75	465598.07	28799.33	73580.05
内 蒙 古	200611	659918.56	205998.95	400030.11	26997.51	26891.98
广西	200611	737807.40	239107.26	420021.31	40487.13	38191.70
集团、总公司本级	200611	133120.11	130146.67	177.98	430.83	2364.63
北京	200612	4115322.86	843561.59	2756254.93	79804.60	435701.73
天津	200612	1051842.47	266178.46	678610.28	20096.06	86957.67
河北	200612	2533740.27	631405.23	1711459.49	54167.78	136707.78
辽宁	200612	1895513.21	478377.46	1267951.91	36597.76	112586.08
大连	200612	648984.11	197454.79	381859.80	17614.29	52055.23
上海	200612	4070402.88	1013265.47	2649174.00	97085.80	310877.61
江苏	200612	5028315.93	1204193.26	3378306.60	125470.01	320346.06
浙江	200612	3038751.50	1084255.20	1682082.03	108198.17	164216.11
宁波	200612	591422.55	272665.89	265625.09	20313.99	32817.59
福建	200612	1465839.18	399508.60	906753.77	42807.38	116769.44
厦门	200612	277676.87	100830.47	135171.88	10780.68	30893.84
山东	200612	3357060.48	862855.32	2201099.69	78971.41	214134.06
青岛	200612	605142.67	199232.17	328208.19	14455.15	63247.16
广东	200612	4731859.11	1397090.90	2837317.31	168743.98	328706.92
深圳	200612	1346884.18	564674.53	631963.71	57886.35	92359.59
海南	200612	177184.92	66803.07	93989.16	7157.65	9235.05
山西	200612	1409766.59	378249.81	946509.95	29188.90	55817.94
吉林	200612	906064.68	192993.92	650348.50	19731.70	42990.56
黑 龙 江	200612	1571834.94	276402.22	1193534.09	32035.96	69862.67
安徽	200612	1646359.38	397422.97	1128707.07	32306.82	87922.51
江西	200612	982027.37	215918.01	676329.73	34100.98	55678.65
河南	200612	2523105.62	476180.38	1854461.47	58674.69	133789.07
湖北	200612	1608012.04	392779.48	1053187.26	47499.02	114546.27
湖南	200612	1478215.26	335025.40	984809.00	62189.41	96191.45
重庆	200612	932436.15	241695.73	592651.21	37703.79	60385.41
